gene	corr	pvalue	gene_mod	pc_mod
ENSG00000099917.17	0.766469598235549	7.21849468047974e-36	8	12
ENSG00000132639.12	0.766521580014896	7.09565503485545e-36	1	7
ENSG00000198915.11	0.766600425111298	6.91325331505364e-36	1	18
ENSG00000179195.15	0.76667093302409	6.75405523900823e-36	9	8
ENSG00000168434.12	0.766682210662883	6.72892890743352e-36	16	14
ENSG00000260903.2	0.766709460304475	6.66859663707882e-36	7	19
ENSG00000186260.16	0.766891102240524	6.27982333299123e-36	1	15
ENSG00000084093.16	0.766958059746608	6.14221694853854e-36	9	18
ENSG00000157064.10	0.766982510476028	6.09271134535681e-36	1	18
ENSG00000004700.15	0.766997027160824	6.06350542634558e-36	9	8
ENSG00000079308.16	0.767075093538945	5.90879347172693e-36	13	7
ENSG00000114812.12	0.767172517383038	5.72116318696807e-36	1	8
ENSG00000076864.19	0.767280365419316	5.52029590158774e-36	8	1
ENSG00000050748.17	0.767322134339981	5.44438127957112e-36	7	15
