gene	corr	pvalue	gene_mod	pc_mod
ENSG00000186575.17	0.782214082386826	8.09786874593787e-21	1	10
ENSG00000196118.11	0.782315731104673	7.94401665740671e-21	1	10
ENSG00000140280.13	0.782509189488314	7.65901634615945e-21	1	6
ENSG00000101493.10	0.782682000547289	7.41285689580577e-21	4	12
ENSG00000167889.12	0.782717943592094	7.36263298309312e-21	1	6
ENSG00000117016.9	0.782742246674859	7.32886142757262e-21	1	6
ENSG00000204396.10	0.782795837280056	7.25492321746889e-21	1	6
ENSG00000130520.10	0.782818727825544	7.22356293120379e-21	1	10
ENSG00000100320.22	0.782822373895665	7.21857995913509e-21	1	6
ENSG00000130204.12	0.782835394348857	7.2008125638478e-21	1	10
ENSG00000205593.11	0.782895560851951	7.11926140150508e-21	1	6
ENSG00000165914.14	0.782934577393657	7.06685806479028e-21	1	6
ENSG00000183255.11	0.782963951228128	7.02765351172384e-21	4	13
ENSG00000131187.9	0.783080955405151	6.87357867063859e-21	1	6
ENSG00000188976.10	0.7831107137151	6.83491881927935e-21	1	6
ENSG00000141698.16	0.783131589689986	6.80792449861561e-21	1	10
ENSG00000125944.18	0.783314711587819	6.57553289914683e-21	6	10
ENSG00000134030.13	0.783361744421322	6.51710166971809e-21	1	10
ENSG00000060709.14	0.783364865127832	6.51324256892744e-21	1	6
ENSG00000116044.15	0.783507040738543	6.3397632632542e-21	6	1
ENSG00000131013.3	0.783541349280152	6.29857838057859e-21	6	1
ENSG00000108309.13	0.783582233308272	6.24983968300546e-21	1	10
ENSG00000139631.18	0.783603700391734	6.22439532588139e-21	3	8
ENSG00000189067.12	0.78369339897332	6.11916319453425e-21	3	1
ENSG00000101977.19	0.783848133702935	5.94168364407517e-21	1	6
ENSG00000115808.11	0.783958274923269	5.81841186500064e-21	3	10
ENSG00000187713.6	0.784063364263656	5.70311412920807e-21	1	14
ENSG00000084764.10	0.784075531045147	5.68990980598567e-21	1	10
ENSG00000171714.10	0.784101689924171	5.66162075250472e-21	1	3
ENSG00000134352.19	0.78419812849348	5.55850541610053e-21	6	10
ENSG00000133243.8	0.784297266543357	5.45440751180957e-21	1	10
ENSG00000048140.17	0.784307895067328	5.44336038823419e-21	1	10
ENSG00000116852.14	0.784363676541417	5.38573769086618e-21	1	6
ENSG00000078053.16	0.784428389490652	5.31963157156291e-21	1	6
ENSG00000273301.1	0.784467060984533	5.28050480208976e-21	1	6
ENSG00000143847.15	0.784600898390562	5.14723958406374e-21	1	6
ENSG00000105737.9	0.784629741873339	5.11895067599708e-21	1	10
ENSG00000166922.8	0.784736378837396	5.0156705119052e-21	1	13
ENSG00000117519.15	0.784772632616274	4.98102160915364e-21	4	13
ENSG00000167315.17	0.784901900126481	4.85936043226579e-21	4	6
ENSG00000260903.2	0.784948511181468	4.81620471222129e-21	1	6
ENSG00000185753.12	0.784949159017226	4.81560753462981e-21	6	1
ENSG00000137770.13	0.784951104593497	4.81381452734268e-21	6	1
ENSG00000072832.14	0.784962710026167	4.80313264908193e-21	1	6
ENSG00000003249.13	0.784978243365474	4.78887150178955e-21	1	6
ENSG00000158715.5	0.78507285092565	4.70289712941501e-21	3	12
ENSG00000011021.21	0.78526905506409	4.52935346439602e-21	1	6
ENSG00000124702.17	0.785371905703917	4.44088529415098e-21	1	6
ENSG00000122140.10	0.785421118611401	4.39915072373423e-21	1	14
ENSG00000237172.3	0.785443149242682	4.38059163469134e-21	3	1
ENSG00000020129.15	0.785521210170228	4.31544210560556e-21	1	6
ENSG00000163704.11	0.785596052133508	4.25386419844442e-21	1	6
ENSG00000108091.10	0.785694581495802	4.17409821816641e-21	1	10
ENSG00000132359.14	0.78574146166539	4.13665805834123e-21	1	6
ENSG00000174749.5	0.785892119285181	4.01853494335139e-21	3	1
